latitude,longitude,altitude,origin point,rotation angle,mirrored,closed
37.001202,-86.366096,172.7,1,210,0,0
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001202,-86.366096,172.7,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366096,170.8,,,,
37.001205,-86.366104,170.8,,,,
37.001205,-86.366104,170.8,,,,
37.001205,-86.366104,170.8,,,,
37.001205,-86.366104,170.8,,,,
37.001202,-86.366104,170.7,,,,
37.001202,-86.366104,170.7,,,,
37.001202,-86.366104,170.7,,,,
37.001202,-86.366104,170.7,,,,
37.001202,-86.366104,170.8,,,,
37.001202,-86.366104,170.8,,,,
37.001198,-86.366112,170.7,,,,
37.001198,-86.366112,170.7,,,,
37.001198,-86.366112,170.7,,,,
37.001198,-86.366112,170.7,,,,
37.001198,-86.366112,170.7,,,,
37.001198,-86.366112,170.7,,,,
37.001194,-86.366119,170.7,,,,
37.001194,-86.366119,170.7,,,,
37.001194,-86.366119,170.7,,,,
37.001194,-86.366119,170.7,,,,
37.001194,-86.366119,170.7,,,,
37.001194,-86.366119,170.7,,,,
37.00119,-86.366127,170.7,,,,
37.00119,-86.366127,170.7,,,,
37.00119,-86.366127,170.7,,,,
37.00119,-86.366127,170.7,,,,
37.001186,-86.366127,170.7,,,,
37.001186,-86.366127,170.7,,,,
37.001186,-86.366135,170.7,,,,
