latitude,longitude,altitude,origin point,rotation angle,mirrored,closed
42.069283,-84.239746,297.97248,,,,
42.06929,-84.239746,297.97248,,,,
42.069294,-84.239754,297.942,,,,
42.069298,-84.239754,297.942,,,,
42.069298,-84.239754,297.91152,,,,
42.069305,-84.239754,297.91152,,,,
42.069309,-84.239754,297.88104,,,,
42.069313,-84.239754,297.88104,,,,
42.069317,-84.239761,297.85056,,,,
42.069321,-84.239761,297.82008,,,,
42.069324,-84.239761,297.82008,,,,
42.069328,-84.239761,297.82008,,,,
42.069332,-84.239761,297.82008,,,,
42.069336,-84.239761,297.82008,,,,
42.06934,-84.239761,297.82008,,,,
42.069344,-84.239761,297.82008,,,,
42.069347,-84.239761,297.82008,,,,
42.069351,-84.239761,297.85056,,,,
42.069359,-84.239761,297.85056,,,,
42.069359,-84.239761,297.85056,,,,
42.069363,-84.239761,297.88104,,,,
42.06937,-84.239761,297.88104,,,,
42.069374,-84.239761,297.85056,,,,
42.069378,-84.239761,297.85056,,,,
42.069378,-84.239754,297.85056,,,,
42.069386,-84.239754,297.88104,,,,
42.069389,-84.239754,297.88104,,,,
42.069393,-84.239746,297.91152,,,,
42.069401,-84.239746,297.91152,,,,
42.069401,-84.239738,297.942,,,,
42.069405,-84.239738,297.97248,,,,
42.069412,-84.239731,297.97248,,,,
42.069416,-84.239731,297.942,,,,
42.06942,-84.239723,297.97248,,,,
42.069424,-84.239723,297.97248,,,,
42.069427,-84.239716,298.00296,,,,
42.069435,-84.239716,298.03344,,,,
42.069439,-84.239716,298.03344,,,,
42.069439,-84.239716,298.06392,,,,
42.069447,-84.239716,298.06392,,,,
42.06945,-84.239708,298.03344,,,,
42.069458,-84.239708,298.03344,,,,
42.069458,-84.239708,298.00296,,,,
42.069466,-84.2397,298.00296,,,,
42.069466,-84.2397,298.00296,,,,
42.069477,-84.2397,297.97248,,,,
42.069481,-84.2397,297.97248,,,,
42.069485,-84.2397,297.942,,,,
42.069492,-84.239693,297.91152,,,,
42.069496,-84.239693,297.88104,,,,
42.0695,-84.239693,297.88104,,,,
42.069504,-84.239693,297.85056,,,,
42.069511,-84.239693,297.85056,,,,
42.069519,-84.2397,297.85056,,,,
42.069519,-84.2397,297.82008,,,,
42.069527,-84.2397,297.82008,,,,
42.06953,-84.2397,297.7896,,,,
42.069538,-84.2397,297.7896,,,,
42.069542,-84.239708,297.75912,,,,
42.069546,-84.239708,297.75912,,,,
42.069553,-84.239708,297.75912,,,,
42.069557,-84.239708,297.75912,,,,
42.069561,-84.239716,297.72864,,,,
42.069569,-84.239716,297.69816,,,,
42.069572,-84.239716,297.69816,,,,
42.069576,-84.239716,297.66768,,,,
42.06958,-84.239716,297.6372,,,,
42.069588,-84.239723,297.60672,,,,
42.069592,-84.239723,297.60672,,,,
42.069592,-84.239723,297.60672,,,,
42.069603,-84.239731,297.57624,,,,
42.069607,-84.239731,297.57624,,,,
42.069614,-84.239738,297.54576,,,,
42.069618,-84.239738,297.54576,,,,
42.069622,-84.239738,297.54576,,,,
42.06963,-84.239738,297.51528,,,,
42.069637,-84.239746,297.51528,,,,
42.069637,-84.239746,297.51528,,,,
42.069645,-84.239746,297.51528,,,,
42.069653,-84.239746,297.51528,,,,
42.069656,-84.239746,297.4848,,,,
42.06966,-84.239754,297.4848,,,,
42.069668,-84.239754,297.4848,,,,
42.069675,-84.239754,297.4848,,,,
42.069679,-84.239754,297.4848,,,,
42.069683,-84.239754,297.45432,,,,
42.069691,-84.239754,297.4848,,,,
42.069698,-84.239746,297.45432,,,,
42.069702,-84.239746,297.45432,,,,
42.06971,-84.239746,297.42384,,,,
42.069714,-84.239746,297.42384,,,,
42.069717,-84.239746,297.39336,,,,
42.069725,-84.239738,297.36288,,,,
42.069733,-84.239738,297.36288,,,,
42.069733,-84.239738,297.36288,,,,
42.06974,-84.239738,297.30192,,,,
42.069748,-84.239731,297.30192,,,,
42.069756,-84.239731,297.27144,,,,
42.069756,-84.239723,297.24096,,,,
42.069763,-84.239723,297.21048,,,,
42.069771,-84.239723,297.18,,,,
42.069775,-84.239716,297.18,,,,
42.069778,-84.239716,297.18,,,,
42.069786,-84.239716,297.18,,,,
42.069794,-84.239716,297.18,,,,
42.069798,-84.239716,297.21048,,,,
42.069805,-84.239708,297.21048,,,,
42.069809,-84.239708,297.21048,,,,
42.069817,-84.2397,297.21048,,,,
42.06982,-84.2397,297.24096,,,,
42.069828,-84.2397,297.24096,,,,
42.069836,-84.239693,297.24096,,,,
42.069839,-84.239693,297.24096,,,,
42.069843,-84.239693,297.27144,,,,
42.069851,-84.239685,297.30192,,,,
42.069855,-84.239685,297.30192,,,,
42.069862,-84.239685,297.30192,,,,
42.06987,-84.239677,297.3324,,,,
42.069874,-84.239677,297.3324,,,,
42.069874,-84.239677,297.3324,,,,
42.069889,-84.239677,297.36288,,,,
42.069893,-84.239677,297.36288,,,,
42.069897,-84.239677,297.3324,,,,
42.069904,-84.239677,297.36288,,,,
42.069912,-84.239677,297.36288,,,,
42.069916,-84.239677,297.36288,,,,
42.069923,-84.239677,297.36288,,,,
42.069931,-84.239677,297.36288,,,,
42.069935,-84.239677,297.36288,,,,
42.069939,-84.239677,297.36288,,,,
42.069946,-84.239677,297.36288,,,,
42.069954,-84.239677,297.36288,,,,
42.069958,-84.239677,297.36288,,,,
42.069965,-84.239677,297.36288,,,,
42.069969,-84.239677,297.36288,,,,
42.069973,-84.239685,297.36288,,,,
42.069981,-84.239685,297.3324,,,,
42.069988,-84.239685,297.3324,,,,
42.069996,-84.239685,297.3324,,,,
42.069996,-84.239693,297.30192,,,,
42.070004,-84.239693,297.30192,,,,
42.070011,-84.239693,297.30192,,,,
42.070015,-84.2397,297.27144,,,,
42.070019,-84.2397,297.27144,,,,
42.070019,-84.2397,297.27144,,,,
42.070034,-84.239708,297.24096,,,,
42.070034,-84.239708,297.24096,,,,
42.070042,-84.239708,297.24096,,,,
42.070049,-84.239716,297.24096,,,,
42.070053,-84.239716,297.24096,,,,
42.070057,-84.239716,297.24096,,,,
42.070065,-84.239716,297.24096,,,,
42.070072,-84.239716,297.24096,,,,
42.070076,-84.239716,297.24096,,,,
42.07008,-84.239716,297.27144,,,,
42.070087,-84.239723,297.27144,,,,
42.070091,-84.239723,297.27144,,,,
42.070095,-84.239723,297.30192,,,,
42.070099,-84.239731,297.27144,,,,
42.070107,-84.239731,297.27144,,,,
42.070114,-84.239731,297.27144,,,,
42.070114,-84.239731,297.30192,,,,
42.070122,-84.239738,297.30192,,,,
42.070126,-84.239738,297.30192,,,,
42.070133,-84.239738,297.30192,,,,
42.070133,-84.239738,297.30192,,,,
42.070141,-84.239746,297.30192,,,,
42.070145,-84.239746,297.30192,,,,
42.070152,-84.239746,297.30192,,,,
42.070152,-84.239746,297.30192,,,,
42.070156,-84.239754,297.3324,,,,
42.070164,-84.239754,297.3324,,,,
42.070168,-84.239754,297.3324,,,,
42.070175,-84.239754,297.3324,,,,
42.070175,-84.239754,297.3324,,,,
42.070179,-84.239754,297.3324,,,,
42.070183,-84.239754,297.3324,,,,
42.07019,-84.239754,297.36288,,,,
42.070194,-84.239754,297.36288,,,,
42.070194,-84.239754,297.39336,,,,
42.070198,-84.239754,297.42384,,,,
42.070206,-84.239754,297.42384,,,,
42.07021,-84.239754,297.42384,,,,
42.070213,-84.239754,297.42384,,,,
42.070213,-84.239754,297.42384,,,,
42.070217,-84.239754,297.45432,,,,
42.070225,-84.239746,297.4848,,,,
42.070229,-84.239746,297.51528,,,,
42.070232,-84.239746,297.51528,,,,
42.070232,-84.239746,297.54576,,,,
42.070236,-84.239738,297.57624,,,,
42.07024,-84.239738,297.57624,,,,
42.070244,-84.239731,297.60672,,,,
42.070248,-84.239731,297.60672,,,,
42.070251,-84.239723,297.60672,,,,
42.070251,-84.239723,297.60672,,,,
42.070255,-84.239716,297.6372,,,,
42.070259,-84.239716,297.6372,,,,
42.070259,-84.239716,297.6372,,,,
42.070263,-84.239716,297.66768,,,,
42.070267,-84.239708,297.6372,,,,
42.070267,-84.239708,297.6372,,,,
42.070271,-84.2397,297.6372,,,,
42.070271,-84.239693,297.60672,,,,
42.070274,-84.239693,297.60672,,,,
42.070274,-84.239685,297.57624,,,,
42.070274,-84.239685,297.54576,,,,
42.070274,-84.239677,297.54576,,,,
42.070274,-84.239677,297.54576,,,,
42.070274,-84.239677,297.54576,,,,
42.070274,-84.23967,297.54576,,,,
42.070274,-84.239662,297.51528,,,,
42.070274,-84.239662,297.51528,,,,
42.070274,-84.239655,297.51528,,,,
42.070274,-84.239647,297.51528,,,,
42.070274,-84.239647,297.54576,,,,
42.070274,-84.239639,297.54576,,,,
42.070274,-84.239639,297.54576,,,,
42.070274,-84.239639,297.57624,,,,
42.070274,-84.239639,297.57624,,,,
42.070274,-84.239624,297.57624,,,,
42.070271,-84.239616,297.60672,,,,
42.070271,-84.239616,297.60672,,,,
42.070267,-84.239609,297.60672,,,,
42.070267,-84.239601,297.60672,,,,
42.070263,-84.239601,297.6372,,,,
42.070263,-84.239601,297.6372,,,,
42.070259,-84.239594,297.6372,,,,
42.070259,-84.239586,297.66768,,,,
42.070255,-84.239586,297.66768,,,,
42.070255,-84.239578,297.69816,,,,
42.070251,-84.239571,297.69816,,,,
42.070251,-84.239563,297.72864,,,,
42.070251,-84.239563,297.72864,,,,
42.070248,-84.239563,297.72864,,,,
42.070244,-84.239555,297.75912,,,,
42.070244,-84.239548,297.75912,,,,
42.07024,-84.23954,297.7896,,,,
42.070236,-84.239532,297.7896,,,,
42.070232,-84.239532,297.82008,,,,
42.070232,-84.239525,297.82008,,,,
42.070232,-84.239517,297.85056,,,,
42.070229,-84.239517,297.85056,,,,
42.070225,-84.23951,297.88104,,,,
42.070225,-84.239502,297.91152,,,,
42.070221,-84.239494,297.942,,,,
42.070217,-84.239487,297.942,,,,
42.070213,-84.239479,297.97248,,,,
42.070213,-84.239479,298.00296,,,,
42.070213,-84.239479,298.03344,,,,
42.07021,-84.239471,298.03344,,,,
42.070206,-84.239464,298.06392,,,,
42.070202,-84.239456,298.0944,,,,
42.070202,-84.239449,298.0944,,,,
42.070198,-84.239441,298.12488,,,,
42.070194,-84.239441,298.15536,,,,
42.070194,-84.239426,298.15536,,,,
42.070194,-84.239418,298.18584,,,,
